# colloquial surface -> English canonical, for `indicator build-lexicon --aliases`.
# Generated by fine-tuning/tool_aliases.py from the benchmark indicator sheets;
# edit those, or add curated rows below the generated block, and regenerate.
# 2,229 pairs over 2,193 surfaces, from 3,370 sheet rows.
%BC	% B Cell
%CTNKC	% Cytotoxic NK cells
%Lym	% Lymphocyte
%NKC	% NK Cell
%NKT	% NKT
%RTC	% Regulatory T Cell
%TC	% T Cell
%TCT(CD8)C	% Cytotoxic (CD8) T Cell
%TTH(CD4)C	% T-Helper (CD4) Cell
%TTH17C	% T-Helper-17
%TTH1C	% T-Helper-1 Cell
%TTH2C	% T-Helper-2 Cell
%ω-3	%Omega-3s
T淋巴细胞	T Lymphocytes
V. cholerae	Vibrio cholerae
V. spp.	Veillonella spp.
VA	Vaccenic
VA	Vitamin A
VB1	Vitamin B1
VB12	Vitamin B12
VB2	Vitamin B2
VB3	Vitamin B3
VB5	Pantothenate
VB6	Vitamin B6
VC	Vitamin C
VD3	Vitamin D3
VE	Vitamin E
VK2	Vitamin K2
VMA	Vanillylmandelic Acid
W - IgA	Wheat IgA
W - IgG	Wheat IgG
WGA - IgA	Wheat Germ Agglutinin IgA
WGA - IgG	Wheat Germ Agglutinin IgG
Y. enterocolitica	Yersinia enterocolitica
Yo	Anti - neuronal nuclear antibody type 3
ZFP	Zonulin Family Peptide, Stool
Zn	Zinc
Z分数	Z Score
anti-CCP	Anti-cyclic citrullinated peptide antibody
anti-CCP IgG	Anti-Cyclic Citrullinated Peptide IgG antibody
anti-La	Anti-La antibodies
anti-RNP	Anti-ribonucleoprotein antibodies
anti-RNP	Anti-ribonucleoprotein antibody
anti-dsDNA	Anti-Double-Stranded DNA Antibodies
anti-β2GPI Ab	Anti-beta-2-glycoprotein I antibody
cN1A-Ab	Anti-cytosolic 5'-nucleotidase 1A antibody
cTnT	Troponin T
dsDNA	Double-Stranded DNA
fPSA	Free Prostate-Specific Antigen
hCG	total human chorionic gonadotropin
hs-CRP	High Sensitivity C-Reactive Protein
hs-CRP	High-Sensitivity C-Reactive Protein
hs-cTnI	High Sensitivity Cardiac Troponin I
mTG - IgA	Microbial Transglutaminase IgA
mTG - IgG	Microbial Transglutaminase IgG
n/dG33 - IgA	Native & Deamidated Gliadin 33 IgA
n/dG33 - IgG	Native & Deamidated Gliadin 33 IgG
nB%	n-Butyrate %
nBC	n-Butyrate Concentration
oxLDL	Oxidized Low-Density Lipoprotein
rHb	Deoxygenated Hemoglobin
rT3	Reverse Triiodothyronine
sST2	Soluble Growth Stimulation Expressed Gene Protein 2
sTfR	Soluble Transferrin Receptor
sdLDL-C	Small Dense Low-Density Lipoprotein Cholesterol
tPSA	Total Prostate-Specific Antigen
tTG-IgA	Anti-Tissue Transglutaminase IgA Antibodies
tTG-IgG	Anti-Tissue Transglutaminase IgG Antibodies
α - 硫辛酸	Alpha Lipoic Acid
α- M	Alpha-Myosin
α- Tub + β - Tub	Alpha-Tubulin + Beta-Tubulin
α- 亚麻酸	α-Linolenic18:3 n3
α- 微管蛋白 +β- 微管蛋白	Alpha-Tubulin + Beta-Tubulin
α- 肌球蛋白	Alpha-Myosin
α- 酪蛋白+β- 酪蛋白	Alpha-Casein+Beta-Casein
α- 麦醇溶蛋白 17 聚体 IgA	Alpha Gliadin 17-mer IgA
α- 麦醇溶蛋白 17 聚体 IgG	Alpha Gliadin 17-mer IgG
α-HBDH	Alpha-Hydroxybutyrate Dehydrogenase
α-L - 岩藻糖苷酶	α-L-fucosidase
α-亚麻酸（3-顺式）	α-linolenic acid 3-isomer
α-氨基丁酸	α-Aminobutyric Acid
α-氨基己二酸	α-Aminoadipic Acid
α-羟丁酸脱氢酶	Alpha-Hydroxybutyrate Dehydrogenase
α-酮戊二酸/肌酐比	Alpha-ketoglutaric acid/Creatinine Ratio
α1 区	Alpha 1 Zone
α1-微球蛋白	Alpha-1 Microglobulin
α2 区	Alpha 2 Zone
α2-巨球蛋白	Alpha-2 Macroglobulin
αG17 - IgA	Alpha Gliadin 17-mer IgA
αG17 - IgG	Alpha Gliadin 17-mer IgG
β- 葡聚糖	Beta-Glucan
β- 葡萄糖醛酸苷酶	Beta-glucuronidase
β-CTx	β-C-terminal telopeptide of type-I collagen
β-Glu	β-Glucuronidase
β-hCG	Total Beta Human Chorionic Gonadotropin
β-hCG	β-Human Chorionic Gonadotropin
β-丙氨酸	β-Alanine
β-氨基异丁酸	β-Aminoisobutyric Acid
β-羟丁酸	Beta Hydroxybutyrate
β-胶原降解产物	β-C-terminal telopeptide of type-I collagen
β-葡萄糖醛酸	β-Glucuronidase
β1 区	Beta 1 Zone
β2 区	Beta 2 Zone
β2M	Beta-2 Microglobulin
β2M	Serum β2-Microglobulin
β2微球蛋白(尿)	Beta-2 Microglobulin
γ 区	Gamma Zone
γ- 亚麻酸 18:3 n-6	γ-Linolenic 18:3 n6
γ- 麦醇溶蛋白 15 聚体 IgA	Gamma Gliadin 15-mer IgA
γ- 麦醇溶蛋白 15 聚体 IgG	Gamma Gliadin 15-mer IgG
γ-亚麻酸（6-顺式）	γ-linolenic acid 6-isomer
γ-氨基丁酸	γ-Aminobutyric Acid
γ-谷氨酰转移酶	Gamma-glutamyl transferase
γG15 - IgA	Gamma Gliadin 15-mer IgA
γG15 - IgG	Gamma Gliadin 15-mer IgG
ω- 麦醇溶蛋白 17 聚体 IgA	Omega Gliadin 17-mer IgA
ω- 麦醇溶蛋白 17 聚体 IgG	Omega Gliadin 17-mer IgG
ω-3	Omega-3 Index
ω-3 脂肪酸占比	%Omega-3s
ω-6	Omega-6s /Omega-3s
ω-6 占比	% Omega-6s
ω-6 脂肪酸占比	% Omega-6s
ω-9 占比	% Omega-9s
ω-9 脂肪酸占比	% Omega-9s
ωG17 - IgA	Omega Gliadin 17-mer IgA
ωG17 - IgG	Omega Gliadin 17-mer IgG
Ⅲ型前胶原N端肽	Procollagen III N-Terminal Peptide
Ⅳ型胶原	Collagen Type IV
⼈纤维蛋⽩原降解产物	Human fibrinogen degradation product
一般信息-医生、出入院日期	General information：attending physician, admission date, discharge date
一般情况	General
丁二酰丙酮/肌酐比	Succinyl-acetone/CRE
丁香	Clove
三文鱼	Salmon
三烯四烯比率	Triene - Tetraene Ratio
三碘甲状腺原氨酸	Triiodothyronine
专科检查	Specialist examination
丙二酰肉碱	Malonylcarnitine (C3-DC)
丙型肝炎病毒RNA	Hepatitis C Virus RNA
丙型肝炎病毒抗体	Hepatitis C Virus Antibodies
丙型肝炎病毒核心抗原	Hepatitis C Virus Core Antigen
丙氨酸	Alanine
丙氨酸氨基转移酶	Alanine Aminotransferase
丙氨酸氨基转移酶	Alanine aminotransferase
丙烯酰肉碱	Propenoylcarnitine, C3:1
丙酮酸	Pyruvic acid
丙酮酸/肌酐比	Pyruvic acid/Creatinine Ratio
丙酰基	Propionyl (C3)
丙酰肉碱	Propionylcarnitine
丙酸盐百分比	Propionate %
严重急性呼吸综合征冠状病毒 2 型核糖核酸	SARS-CoV-2 RNA
个人信息	Personal Information
个人史	Personal History
中性淋巴比值	Neutrophil-to-Lymphocyte Ratio
中性粒细胞百分比	Neutrophil Percentage
中性粒细胞绝对值	Neutrophil Absolute Value
中枢性的	Central
中间细胞百分比	Intermediate Cell Percentage
中间细胞绝对值	Intermediate Cell Absolute Value
主诉	chief complaint
乙型流感病毒	Influenza B Virus
乙型肝炎病毒抗体	Hepatitis B antibodies
乙型肝炎病毒抗原	Hepatitis B Virus Antigen
乙基丙二酸/肌酐比	Ethylmalonic acid/Creatinine Ratio
乙肝e抗体	Hepatitis B e Antibody
乙肝e抗原	Hepatitis B e Antigen
乙肝核心抗体	Hepatitis B Core Antibody
乙肝表面抗体计数	Anti-HBs count
乙肝表面抗原	Hepatitis B Surface Antigen
乙酰乙酸/肌酐比	Acetoacetic acid/Creatinine Ratio
乙酰氨基己糖糖苷酶	N-acetyl-hexosaminidase
乙酰胆碱	Acetylcholine
乙酸盐百分比	Acetate %
乙醇胺	Ethanolamine
乳头瘤病毒	Human Papillomavirus
乳房	Breasts
乳杆菌属	Lactobacillus spp.
乳清蛋白	Whey Protein
乳糜微粒	Chylomicron
乳酸/肌酐比	Lactic acid/Creatinine Ratio
乳酸杆菌	Lactobacillus
乳香树胶 + 阿拉伯胶	Mastic Gum + Gum Arabic
二十二碳四烯酸	Docosatetraenoic Acid
二十二碳四烯酸 22:4 n-6	Docosatetraenoic 22:4 n6
二十二碳烯酸	Erucic acid
二十碳三烯酸	Eicosatrienoic Acid
二十碳二烯酸 20:2 n-6	Eicosadienoic 20:2 n6
二氧化碳分压	Partial Pressure of Carbon Dioxide
二氧化碳总量（B）	Total carbon dioxide (B)
二高 -γ- 亚麻酸 20:3 n-6	Dihomo-γ-linolenic 20:3 n6
五分熟牛肉	Beef, cooked medium
亚油酰肉碱	LINOYLEYLCARNITINE C18:2
亚油酸 / 二高 γ- 亚麻酸	Linoleic / DGLA 18:2 n6 / 20:3 n6
亚油酸 18:2 n-6	Linoleic 18:2n6
亚油酸/肌酐比	Linoleic acid/Creatinine Ratio
亚油酸（6-顺式）	Linoleic acid 6-isomer
亚硝酸盐	Nitrite
亚胺培南	Imipenem
亚麻籽	Flax Seed
交链孢霉	Alternaria
产气单胞菌	Aeromonas
产气柯林斯氏菌	Collinsella aerofaciens
产气肠杆菌	Enterobacter aerogenes
产气荚膜梭菌	Clostridium perfringens
产甲酸草酸杆菌	Oxalobacter formigenes
亮氨酸	Leucine
人乳头瘤病毒11型	Human Papillomavirus Type 11
人乳头瘤病毒16型	Human Papillomavirus type 16
人乳头瘤病毒18型	Human Papillomavirus Type 18
人乳头瘤病毒23型	Human Papillomavirus type 23
人乳头瘤病毒31型	Human Papillomavirus type 31
人乳头瘤病毒33型	Human Papillomavirus Type 33
人乳头瘤病毒35型	Human Papillomavirus Type 35
人乳头瘤病毒39型	Human Papillomavirus Type 39
人乳头瘤病毒42型	Human Papillomavirus Type 42
人乳头瘤病毒43型	Human Papillomavirus Type 43
人乳头瘤病毒44型	Human Papillomavirus Type 44
人乳头瘤病毒46型	Human Papillomavirus type 46
人乳头瘤病毒51型	Human Papillomavirus Type 51
人乳头瘤病毒52型	Human Papillomavirus Type 52
人乳头瘤病毒56型	Human Papillomavirus Type 56
人乳头瘤病毒58型	Human Papillomavirus Type 58
人乳头瘤病毒59型	Human Papillomavirus Type 59
人乳头瘤病毒66型	Human Papillomavirus Type 66
人乳头瘤病毒68型	Human Papillomavirus type 68
人乳头瘤病毒6型	Human Papillomavirus Type 6
人乳头瘤病毒82型	Human Papillomavirus Type 82
人乳头瘤病毒83型	Human Papillomavirus Type 83
人乳头瘤病毒8型	Human Papillomavirus Type 8
人巨细胞病毒核酸检测	Human Cytomegalovirus Nucleic Acid Test
人类免疫缺陷病毒（艾滋病病毒）抗体	Human Immunodeficiency Virus (HIV) Antibody
人类疱疹病毒 6 型脱氧核糖核酸	Human Herpesvirus 6 Deoxyribonucleic Acid
人类白细胞抗原-DQ2	Human Leukocyte Antigen-DQ2
人结肠厌氧截短菌 / 马赛厌氧截短菌	Anaerotruncus colihominis/massiliensis
人芽囊原虫	Blastocystis hominis
人附睾蛋白4浓度	Human Epididymis Protein 4
会诊记录	Consult notes
低密度脂蛋白/高密度脂蛋白比率	LDL/HDL Ratio
低密度脂蛋白胆固醇	Low-Density Lipoprotein Calculated
低密度脂蛋白颗粒数	Low-Density Lipoprotein Particle Number
体外血栓干重	In Vitro Thrombus Dry Weight
体外血栓形成	In Vitro Thrombosis Formation
体外血栓湿重	In Vitro Thrombus Wet Weight
体外血栓长度	In Vitro Thrombus Length
体温	Temperature
体脂肪量	Body fat mass
体重指数	BMI
使用药物	Administered medications
便潜血	fecal occult blood test
促卵泡激素	Follicle-Stimulating Hormone
促甲状腺激素	Thyroid Stimulating Hormone
促甲状腺激素受体抗体	Thyroid Stimulating Hormone Receptor Antibodies
促甲状腺激素释放激素	Thyrotropin-Releasing Hormone
促肾上腺皮质激素释放激素	Corticotropin-Releasing Hormone
促肾上腺皮质激素（16:00）	Adrenocorticotropic Hormone (4 PM)
促肾上腺皮质激素（8:00）	Adrenocorticotropic Hormone (8:00 AM)
促黄体生成素释放激素	Luteinizing Hormone-Releasing Hormone
假黄瘤胃球菌属	Pseudoflavonifractor spp.
偏苯三酸酐和邻苯二甲酸酐 IgG+IgA	Trimellitic and Phthalic Anhydrides IgG+IgA
偏苯三酸酐和邻苯二甲酸酐 IgM	Trimellitic and Phthalic Anhydrides IgM
健康指导	Health Guidance
健康评分	Fitness score
催乳素	Prolactin
免疫球蛋白(尿)IgA	Immunoglobulin A (IgA) in urine
免疫球蛋白(尿)IgG	Immunoglobulin (Urine) IgG
免疫球蛋白(尿)IgM	Immunoglobulin M (Urine)
免疫球蛋白D	Immunoglobulin D
免疫球蛋白E	Immunoglobulin E
免疫颗粒细胞百分比	Immature Granulocyte Percentage
免疫颗粒细胞绝对值	Immunogranular Cell Absolute Value
入院前用药	Prior to admission medications
入院原因	Reason
全⾎粘度1	Whole Blood Viscosity 1
全⾎粘度200	Whole Blood Viscosity 200
全⾎粘度30	Whole Blood Viscosity 30
全⾎粘度5	Whole Blood Viscosity 5
全血低切相对指数	Whole Blood Low - shear Relative Index
全血低切还原粘度	Whole Blood Low - shear Reduced Viscosity
全血比粘度	Whole Blood Viscosity
全血碱剩余	Base Excess
全血粘度测定-全血粘度（50中切）	Whole Blood Viscosity (50 - Medium - shear)
全血粘度测定-全血粘度（5低切）	Whole Blood Viscosity (5 - Low - shear)
全血粘度测定-全血粘度（低切）	Whole Blood Viscosity(Low-Shear)
全血粘度（高切）	Whole Blood Viscosity (High - shear)
全血还原粘度	Reduced Viscosity of Whole Blood
全血高切相对指数	Whole Blood High - shear Relative Index
全血高切还原粘度	Whole Blood High - shear Reduced Viscosity
八碳二烯酰肉碱	OCTANEDIOYLCA C8-DC
关节炎肽	Arthritic Peptide
其他	other topics
其它成分	Other
内啡肽	Endorphin
内因子	Intrinsic Factor
内生肌酐清除率	Endogenous Creatinine Clearance Rate
内科其他	Others in Internal Medicine
内脏脂肪组织	Visceral Adipose Tissue
冲泡后的咖啡豆蛋白	Coffee Bean Protein, brewed
冲泡后的红茶	Black Tea, brewed
冲泡后的绿茶	Green Tea, brewed
凝血因子II	Coagulation Factor II
凝血因子IX	Coagulation Factor IX
凝血因子V	Coagulation Factor V
凝血因子X	Coagulation Factor X
凝血因子XI	Coagulation Factor XI
凝血因子XII	Coagulation Factor XII
凝血酶原时间	prothrombin time
凝血酶原时间比值	Prothrombin Time Ratio
凝血酶原时间活动度	Prothrombin Time Activity
凝血酶时间	Thrombin Time
凝血酶时间对照	Thrombin Time Control
出芽短梗霉抗体	Aureobasidium pullulans Antibody
出院医嘱	Discharge orders
出院带药	Medications at the time of discharge
出院指导	Discharge instruction
出院指导	Discharge instructions
出院计划	Discharge plan
分析停止时间（熄灯时间）	Analysis Stop Time (Lights on)
分析开始时间（熄灯时间）	Analysis Start Time (Lights out)
分析持续时间（总记录时间，TRT）	Analysis Duration (TRT)
分枝孢霉	Cladosporium herbarum
刺柏	Juniper
刺槐豆胶	Locust Bean Gum
前体B型利钠肽	Pro-B-Type Natriuretic Peptide
前列腺特异性抗原密度	Prostate-Specific Antigen Density
前列腺特异性抗原速率	Prostate-Specific Antigen Velocity
前列腺特异抗原	Prostate Specific Antigen
前列腺素D2	Prostaglandin D2
前列腺（外科）	Prostate (Surgical)
前白蛋白	Prealbumin
剪接因子相关的抗体	Splicing Factor-Related Antibodies
副流感病毒	Parainfluenza Virus
功能残气量	Functional Residual Capacity
动脉硬化指数	Arteriosclerosis Index
动脉血氧含量	Arterial Oxygen Content
包虫IgG抗体	Echinococcus granulosus IgG antibody
化生细胞	Metaplastic Cells
医生	physician
医疗决策	Medical decision making
医疗团队	Care team
十二烯酰肉碱	DODECENOYLCARNITINE C12:1
十二碳二烯酰肉碱	DODECANEDIOY C12-DC
十二酰基	Dodecanoyl (C12)
十六碳一烯酰肉碱	HEXADECENOYLCARNITINE C16:1
十六碳烯酸（9-顺式）	Hexadec-9-enoic acid
十六酰基	Hexadecanoyl (C16)
十四碳一烯酰肉碱	TETRADECENOYLCARNITINE C14:1
十四碳二烯酰肉碱	TETRADECANDIENOYLCARN C14:2
十四酰基	Tetradecanoyl (C14)
半胱氨酸亚砜	Cysteine Sulfoxide
华支睾吸虫属 / 后睾吸虫属	Clonorchis/Opisthorchis spp.
单形拟杆菌	Bacteroides uniformis
单核细胞百分比	Monocyte Percentage
单核细胞绝对值	Monocyte Absolute Value
单纯疱疹病毒I型IgG抗体	Herpes Simplex Virus Type I IgG Antibody
单纯疱疹病毒I型IgM抗体	Herpes Simplex Virus Type I IgM Antibody
单纯疱疹病毒Ⅱ型IgG抗体	Herpes Simplex Virus Type II IgG Antibody
单纯疱疹病毒Ⅱ型IgM抗体	Herpes Simplex Virus Type II IgM Antibody
卡拉胶	Carrageenan
卵巢 / 睾丸	Ovary/Testis
卵磷脂小体	Lecithin Corpuscles
厄他培南	Ertapenem
厌氧链球菌	Anaerobic Streptococci
原肌球蛋白	Tropomyosin
去甲肾上腺素	Norepinephrine
去脂体重	Fat-free mass
去脂体重指数	Fat-Free Mass Index
双歧杆菌属	Bifidobacterium spp.
双歧杆菌（厌氧培养）	Bifidobacterium (Anaerobic Culture)
双载蛋白抗体	Amphiphysin antibody
双酚 A IgG+IgA	Bisphenol A IgG+IgA
双酚 A IgM	Bisphenol A IgM
双酚 A 结合蛋白 IgG+IgA	BPA Binding Protein IgG+IgA
双酚 A 结合蛋白 IgM	BPA Binding Protein IgM
双链DNA	Double-Stranded DNA
反丁烯二酸/肌酐比	Maleylic acid/Creatinine Ratio
反三碘甲状腺原氨酸	Reverse Triiodothyronine
反式-11-十八碳烯酸	Trans-11-eicosenoic acid
反式油酸	Elaidic 18:1 n9t
反油酸	Vaccenic
受限；限制	limitation
口腔科其他	Others in Stomatology
口腔粘膜	Oral Mucosa
可溶性生长刺激表达基因蛋白2	Soluble Growth Stimulation Expressed Gene Protein 2
可溶性转铁蛋白	Soluble Transferrin Receptor
右腿	Right leg
右臂	Right arm
同型半胱氨酸	Homocysteine
吡哆醇	Vitamin B6
听力	Hearing
吸氧浓度	Fraction of Inspired Oxygen
呋喃妥因	Nitrofurantoin
呼吸	Breath
呼吸努力相关微觉醒	RERAs
呼吸暂停和呼吸浅慢（事件）	A+H
呼吸浅慢	Hypopnea
呼吸紊乱指数	RDI
呼吸道合胞病毒	Respiratory Syncytial Virus
呼吸道合胞病毒IgM抗体	Respiratory Syncytial Virus IgM Antibody
呼气峰值流量	Peak Expiratory Flow Rate
咽	Pharynx
哈密瓜 + 白兰瓜	Cantaloupe + Honeydew Melon
哈氏内阿米巴	Entamoeba hartmanii
哌拉西林	Piperacillin
唇	Lips
啤酒酵母	beer yeast
喝酒史	alcohol consumption history
嗜碱性粒细胞百分比	Basophil Percentage
嗜碱性粒细胞绝对值	Basophil,Absolute
嗜肺军团菌IgM抗体	Legionella pneumophila IgM antibody
嗜酸性粒细胞百分比	Eosinophil Percentage
嗜酸性粒细胞绝对值	Eosinophil Absolute Value
嗜酸性粒细胞蛋白 X†	Eosinophil Protein X (EPX)†
嗜黏蛋白阿克曼氏菌	Akkermansia muciniphila
四氯乙烯 IgG+IgA	Tetrachloroethylene IgG+IgA
四氯乙烯 IgM	Tetrachloroethylene IgM
四溴双酚 A IgG+IgA	Tetrabromobisphenol A IgG+IgA
四溴双酚 A IgM	Tetrabromobisphenol A IgM
四碘甲状腺原氨酸	Thyroxine
四肢关节	Extremity joints
四肢骨骼肌指数	Appendicular Skeletal Muscle Index
国际标准化比值	International Normalized Ratio
土豆	Potato
坚果混合	Mixed nuts
基础代谢率	Basal metabolic rate
壁细胞 + 腺苷三磷酸酶	Parietal Cell + ATPase
复方新诺明	Co-Trimoxazole
夏科 - 莱登结晶	Charcot-Leyden Crystals
外生殖器	External genitalia
外眼	External eye
外科其他	Others in Surgery
外耳	External Ear
外耳道	External Auditory Canal
多巴胺	Dopamine
大米	Rice
大米	rice
大米蛋白	Rice Protein
大肠埃希氏菌	Escherichia coli
大肠埃希菌	Escherichia coli
大肠杆菌	Escherichia coli
大蒜	Garlic
大蒜	garlic
大血小板比例	platelet large cell ratio
大豆	Soy
大豆	Soybean
大豆凝集素	Soybean Agglutinin
大豆油质蛋白 + 水通道蛋白	Soybean Oleosin + Aquaporin
大麻	Hemp
天冬氨酸	Aspartic acid
天然及脱酰胺麦醇溶蛋白 33 IgA	Native & Deamidated Gliadin 33 IgA
天然及脱酰胺麦醇溶蛋白 33 IgG	Native & Deamidated Gliadin 33 IgG
天门冬氨酸氨基转移酶	Aspartate Aminotransferase
头孢他啶	Ceftazidime
头孢吡肟	Cefepime
头孢唑林	Cefazolin
头孢曲松	Ceftriaxone
头孢替坦	Cefotetan
奇亚籽	Chia Seed
女性46XX	Female 46XX
妥布霉素	Tobramycin
姜	Ginger
姜	ginger
姜黄	Turmeric (Curcumin)
婚姻状况	marital status
孕酮	Progesterone
孜然	Cumin
实际碱剩余	Actual base excess
实际碳酸氢根浓度	Actual Bicarbonate
寄生虫	Parasites
寄生虫卵	Parasitic Ova
富含亮氨酸的胶质瘤灭活蛋白1抗体	Anti-leucine-rich glioma-inactivated 1 protein antibody
对羟基苯甲酸酯 IgG+IgA	Parabens IgG+IgA
对羟基苯甲酸酯 IgM	Parabens IgM
小圆上皮细胞	Small Round Epithelial Cells
小扁豆凝集素	Lentil Lectin
小清蛋白	Parvalbumin
小米	Millet
小而密低密度脂蛋白胆固醇	Small Dense Low-Density Lipoprotein Cholesterol
小肠结肠炎耶尔森菌	Yersinia enterocolitica
小脑的	Cerebellar
小麦	Wheat
小麦 + α- 麦醇溶蛋白	Wheat + Alpha-Gliadins
小麦 IgA	Wheat IgA
小麦 IgG	Wheat IgG
小麦胚芽凝集素 IgA	Wheat Germ Agglutinin IgA
小麦胚芽凝集素 IgG	Wheat Germ Agglutinin IgG
尘螨	Dust Mite
就诊诊断	Visit diagnoses
尿N-乙酰-β-D-氨基葡萄糖苷酶	N-Acetyl-β-D-Glucosaminidase in Urine
尿α1微球蛋白	Alpha-1 Microglobulin in Urine
尿妊娠试验	Urine pregnancy test
尿核基质蛋白	Urine Nuclear Matrix Protein
尿沉渣	Urine Sediment
尿液电导率	Urine Electrical Conductivity
尿液蛋白免疫电泳	Urine Protein Immunofixation Electrophoresis (Timed)
尿磷	Urinary Phosphorus
尿素氮/肌酐比值	Urea Nitrogen/Creatinine Ratio
尿素酶A	Urease A
尿素酶B	Urease B
尿胆原	Urobilinogen
尿蛋白定量	Urine Protein Quantification
尿转铁蛋白	Urinary Transferrin
尿酸	Uric Acid
尿钙	Urinary Calcium
屋尘	House dust
屋尘螨	House dust mite
山毛榉树	Beech
山羊奶	Goat's Milk
左氧氟沙星	Levofloxacin
左腿	Left leg
左臂	Left arm
巨噬细胞	Macrophages
巨细胞病毒IgG抗体	Cytomegalovirus IgG Antibody
巨细胞病毒IgM抗体	Cytomegalovirus IgM Antibody
己二酸/肌酐比	Adipic acid/Creatinine Ratio
己烯酰肉碱	HEXENOYLCARNIT C6 1
己酰基	Hexanoyl (C6)
巴恩斯氏菌属	Barnesiella spp
布氏嗜碘阿米巴	Iodamoeba buetschlii
布氏瘤胃球菌	Ruminococcus bromii
干扰素α	Interferon-alpha
干扰素γ	Interferon-Gamma
干燥综合征抗体SS-A	Sjögren's Syndrome Antigen A
干燥综合征抗体SS-B	Sjögren's Syndrome Antigen B
平均心率（次 / 分钟）	Average HR [bpm]
平均红细胞体积	Mean Corpuscular Volume
平均红细胞血红蛋白浓度	Mean Corpuscular Hemoglobin Concentration
平均红细胞血红蛋白量	Mean Corpuscular Hemoglobin
平均血小板体积	Mean Platelet Volume
平均血浆葡萄糖	mean plasma glucose
并殖吸虫属	Paragonimus spp.
幽门螺旋菌抗体IgG	Helicobacter pylori antibody IgG
幽门螺旋菌现症感染带(特异IgG)	Helicobacter pylori current infection band (specific IgG)
幽门螺杆菌	Helicobacter pylori
幽门螺杆菌抗体	Helicobacter pylori antibody
幽门螺杆菌抗原	Helicobacter pylori Antigen
幽门螺杆菌抗原检测	HpSA - H. pylori
庆大霉素	Gentamicin
庚酰肉碱	Heptanoylcarnitine (C7)
开心果	Pistachio
异丁酰基	Isobutyryl (C4)
异亮氨酸	Isoleucine
异亮氨酸异构体	Isoleucine Isomer
异常凝血酶原	Abnormal Prothrombin
异常结果的解释和建议	Interpretation and Recommendations for Abnormal Results
异形吸虫属 / 次睾吸虫属	Heterophyes/Metagonimus
异戊酰-2-甲基丁酰肉碱	Isovaleryl-2-Methylbutyryl (C5)
异氰酸酯 IgG+IgA	Isocyanate IgG+IgA
异氰酸酯 IgM	Isocyanate IgM
弓形虫IgG	Toxoplasma gondii IgG antibody
弓形虫IgM	Toxoplasma gondii IgM antibody
弥散功能	Diffusion Function
弯曲菌	Campylobacter
影像表现	finding
微小内蜒阿米巴	Endolimax nana
微小膜壳绦虫	Hymenolepis nana
微小隐孢子虫 / 人隐孢子虫	Cryptosporidium parvum/hominis
微生物	Microorganisms
微生物转谷氨酰胺酶 IgA	Microbial Transglutaminase IgA
微生物转谷氨酰胺酶 IgG	Microbial Transglutaminase IgG
微量白蛋白/肌酐比率	Microalb/Creatinine Ratio
心包液与血清LDH比	Pericardial Fluid to Serum LDH Ratio
心包液与血清蛋白比	Pericardial Fluid to Serum Protein Ratio
心律	Cardiac Rhythm
心率	Heart Rate
心肌肽	Myocardial Peptide
心脏风险	Cardiac Risk
心音	Heart Sounds
志贺氏菌属	Shigella spp.
志贺菌	Shigella
快速眼动睡眠潜伏期（分钟）	REM latency [m]
念珠菌	Candida
急诊治疗	ED treatment
急诊病历记录	ED note
急诊过程、数据回顾与解读	ED Course, Data Review & Interpretation
性激素结合球蛋白	Sex Hormone - Binding Globulin
性状	Consistency
性状††	Consistency††
总 B 细胞数	Total B Cell
总 T 细胞数	Total T Cell
总β-人绒毛膜促性腺激素	Total Beta Human Chorionic Gonadotropin
总三碘甲状腺原氨酸	Total Triiodothyronine
总人绒毛膜促性腺激素	total human chorionic gonadotropin
总免疫球蛋白E	Total Immunoglobulin E
总前列腺特异性抗原	Total Prostate-Specific Antigen
总单不饱和脂肪酸	Total Monounsaturated Fatty Acid
总呼吸暂停次数	Total A
总多不饱和脂肪酸	Total Polyunsaturated Fatty Acid
总淋巴细胞数	Total Lymphocyte
总甲状腺素	Total Thyroxine
总睡眠周期（SPT）	Total Sleep Period (SPT)
总睡眠时间	Total sleep time
总细胞毒性自然杀伤细胞数	Total Cytotoxic NK cells
总细胞毒性（CD8）T 细胞数	Total Cytotoxic (CD8) T Cell
总结	Summary
总肉碱	Total Carnitine
总胆固醇	Total Cholesterol
总胆红素	Bilirubin Total
总胆红素	Total Bilirubin
总脂肪酸	Total Fatty Acid
总自然杀伤 T 细胞数	Total NKT
总自然杀伤细胞数	Total NK Cell
总调节性 T 细胞数	Total Regulatory T Cell
总辅助性 T 细胞 1 数	Total T-Helper-1 Cell
总辅助性 T 细胞 17 数	Total T-Helper-17
总辅助性 T 细胞 2 数	Total T-Helper-2 Cell
总辅助性 T 细胞（CD4）数	Total T-Helper (CD4) Cell
总铁结合力	Total Iron Binding Capacity
总雌激素	Total Estrogen
总饱和脂肪酸	Total Saturated Fatty Acid
恶性肿瘤特异生长因子	Tumor Specific Growth Factor
患者活动问题清单	Patient Active Problem List
患者现存问题列表	Patient active problem list
悬铃木	London plane
戊二酰肉碱	Glutarylcarnitine
戊型肝炎抗体IgM	Hepatitis E Virus Antibody IgM
扁桃体	Tonsils
扇贝	Scallop
手术史	Past surgical history
抗D抗体	Anti-D antibody
抗Jo-1抗体	Anti-Jo-1 antibody
